epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,152.669,1.54142,2.1937,1.15249,0.01831,0.85556,0.30409,0.18463,1.15139,2.89746,0.95193,0.000651852,0.000651852,0.000651852
2,297.942,1.34471,1.13847,1.01589,0.95429,0.69597,0.9402,0.6082,1.18817,1.88573,1.01942,0.00130547,0.00130547,0.00130547
3,444.652,1.34351,1.06,1.02911,0.87878,0.88605,0.93835,0.6074,1.22116,1.30868,1.01922,0.00194588,0.00194588,0.00194588
4,592.116,1.29183,0.95618,1.03439,0.94323,0.93333,0.97943,0.63154,1.18868,0.98645,0.99293,0.0019406,0.0019406,0.0019406
5,737.553,1.2122,0.83086,1.00457,0.9453,0.96012,0.97555,0.64669,1.15305,0.88167,1.02023,0.0019208,0.0019208,0.0019208
6,883.83,1.2169,0.80019,1.00084,0.97357,0.95556,0.98535,0.69254,1.04551,0.73899,0.94974,0.001901,0.001901,0.001901
7,1031.63,1.14521,0.74423,0.99334,0.97505,0.96667,0.98923,0.65279,1.18477,0.72904,1.00095,0.0018812,0.0018812,0.0018812
8,1176.95,1.16025,0.7124,0.9846,0.97801,0.98839,0.99223,0.66296,1.15905,0.67568,0.98891,0.0018614,0.0018614,0.0018614
9,1324.05,1.14011,0.71476,0.97881,0.98357,0.96667,0.99195,0.66811,1.12134,0.67384,0.97404,0.0018416,0.0018416,0.0018416
10,1491.73,1.16309,0.70584,0.9752,0.98415,0.96667,0.98434,0.67517,1.08876,0.6617,0.97344,0.0018218,0.0018218,0.0018218
11,1641.71,1.07543,0.64881,0.96342,0.9745,0.95556,0.99026,0.6766,1.11328,0.65503,0.99623,0.001802,0.001802,0.001802
12,1787.52,1.10624,0.66122,0.96193,0.98377,0.95556,0.98791,0.68137,1.15725,0.6647,0.98552,0.0017822,0.0017822,0.0017822
13,1932.99,1.07711,0.63911,0.95862,0.98534,0.97778,0.99217,0.68156,1.10054,0.60927,0.9664,0.0017624,0.0017624,0.0017624
14,2079.58,1.05874,0.62544,0.94999,0.99533,0.97778,0.99286,0.6878,1.06908,0.58664,0.95946,0.0017426,0.0017426,0.0017426
15,2226.6,1.06574,0.63121,0.93911,0.96758,0.99482,0.99136,0.727,1.00954,0.57312,0.93358,0.0017228,0.0017228,0.0017228
16,2373.57,1.04859,0.60508,0.94695,0.96801,0.95556,0.98605,0.68392,1.11123,0.63116,0.96363,0.001703,0.001703,0.001703
17,2520.24,1.00896,0.60143,0.93628,0.9781,0.94444,0.98935,0.71542,0.98064,0.56852,0.93996,0.0016832,0.0016832,0.0016832
18,2667.24,0.99152,0.59472,0.92787,0.98444,0.96667,0.99166,0.69467,0.99524,0.56066,0.93858,0.0016634,0.0016634,0.0016634
19,2813.21,0.99071,0.56476,0.91997,1,0.96805,0.99263,0.70201,1.01171,0.58503,0.95184,0.0016436,0.0016436,0.0016436
20,2960.62,0.99207,0.56156,0.93542,0.96623,0.95364,0.98036,0.66111,1.1264,0.68589,0.96406,0.0016238,0.0016238,0.0016238
21,3106.94,0.96238,0.56579,0.9325,0.98309,0.96667,0.99244,0.6941,1.04512,0.55234,0.96322,0.001604,0.001604,0.001604
22,3253.85,0.97864,0.57262,0.9301,0.97569,0.96667,0.99129,0.70075,1.03161,0.54609,0.93451,0.0015842,0.0015842,0.0015842
23,3400.1,1.01332,0.59267,0.92671,0.98537,0.97778,0.99347,0.71008,0.98022,0.53268,0.93142,0.0015644,0.0015644,0.0015644
24,3547.04,0.91066,0.53392,0.90589,0.99786,0.97778,0.99248,0.73513,0.97363,0.51,0.93576,0.0015446,0.0015446,0.0015446
25,3692.97,0.97122,0.5481,0.92033,0.98289,1,0.99478,0.71664,0.99571,0.51746,0.9402,0.0015248,0.0015248,0.0015248
26,3838.67,0.953,0.54539,0.90782,0.99284,0.97778,0.99467,0.72077,0.96721,0.51504,0.93461,0.001505,0.001505,0.001505
27,3985.88,0.88924,0.52276,0.90262,0.9886,0.96316,0.99129,0.68651,1.04716,0.57696,0.93784,0.0014852,0.0014852,0.0014852
28,4132.75,0.90785,0.51549,0.90928,0.9995,0.98889,0.99428,0.71754,1.04139,0.50061,0.94889,0.0014654,0.0014654,0.0014654
29,4278.68,0.90225,0.52029,0.90445,0.98831,0.95556,0.99349,0.72944,0.99449,0.48066,0.93501,0.0014456,0.0014456,0.0014456
30,4425.31,0.90009,0.52927,0.90325,0.99222,0.97778,0.9935,0.73545,0.93848,0.50773,0.92284,0.0014258,0.0014258,0.0014258
31,4571.97,0.88542,0.51132,0.90159,0.97532,0.96667,0.98733,0.70941,1.00967,0.52537,0.93877,0.001406,0.001406,0.001406
32,4719.43,0.90785,0.51326,0.90149,0.9887,0.97177,0.99395,0.71496,1.0101,0.49685,0.94636,0.0013862,0.0013862,0.0013862
33,4866.29,0.89832,0.51178,0.91342,0.98297,0.97778,0.99425,0.72451,1.00963,0.49622,0.92983,0.0013664,0.0013664,0.0013664
34,5013.53,0.87326,0.49005,0.90648,0.97504,0.95556,0.98632,0.73516,0.98654,0.49059,0.92722,0.0013466,0.0013466,0.0013466
35,5160.51,0.86316,0.49422,0.90817,0.94589,0.98889,0.99255,0.70259,1.06673,0.53319,0.939,0.0013268,0.0013268,0.0013268
36,5306.82,0.86484,0.49895,0.90499,0.94598,1,0.9933,0.72923,1.00419,0.50204,0.92003,0.001307,0.001307,0.001307
37,5453.03,0.87116,0.50171,0.89726,0.98722,0.98889,0.99467,0.73689,1.00768,0.48052,0.92863,0.0012872,0.0012872,0.0012872
38,5599.79,0.85623,0.49619,0.8875,0.97897,0.97778,0.9939,0.71746,0.96809,0.49274,0.92734,0.0012674,0.0012674,0.0012674
